	Ellisomyces_anomalus_NRRL_2465_Plus-T.aa	Ellisomyces_anomalus_RSA_581-.aa
OG0004699	GBNWX_004848-T1	GBNWY_001896-T1
OG0004700	GBNWX_004849-T1	GBNWY_001895-T1
OG0004701	GBNWX_004850-T1	GBNWY_001894-T1
OG0004702	GBNWX_004851-T1	GBNWY_001893-T1
OG0004703	GBNWX_004852-T1	GBNWY_001892-T1
OG0004704	GBNWX_004853-T1	GBNWY_001891-T1
OG0004705	GBNWX_004854-T1	GBNWY_007565-T1
OG0004706	GBNWX_004855-T1	GBNWY_007564-T1
OG0004707	GBNWX_004856-T1	GBNWY_007563-T1
OG0004708	GBNWX_004857-T1	GBNWY_006657-T1
OG0004709	GBNWX_004859-T1	GBNWY_006659-T1
OG0004710	GBNWX_004861-T1	GBNWY_006661-T1
OG0004711	GBNWX_004862-T1	GBNWY_006662-T1
OG0004712	GBNWX_004863-T1	GBNWY_006663-T1
OG0004713	GBNWX_004864-T1	GBNWY_006664-T1
OG0004714	GBNWX_004867-T1	GBNWY_004533-T1
OG0004715	GBNWX_004868-T1	GBNWY_004532-T1
OG0004716	GBNWX_004869-T1	GBNWY_004531-T1
OG0004717	GBNWX_004870-T1	GBNWY_004530-T1
OG0004718	GBNWX_004871-T1	GBNWY_004529-T1
OG0004719	GBNWX_004872-T1	GBNWY_004528-T1
OG0004720	GBNWX_004873-T1	GBNWY_004527-T1
OG0004721	GBNWX_004874-T1	GBNWY_004526-T1
OG0004722	GBNWX_004875-T1	GBNWY_004525-T1
OG0004723	GBNWX_004876-T1	GBNWY_004524-T1
OG0004724	GBNWX_004877-T1	GBNWY_004523-T1
OG0004725	GBNWX_004878-T1	GBNWY_004886-T1
OG0004726	GBNWX_004880-T1	GBNWY_004884-T1
OG0004727	GBNWX_004881-T1	GBNWY_004883-T1
OG0004728	GBNWX_004883-T1	GBNWY_004881-T1
OG0004729	GBNWX_004884-T1	GBNWY_004880-T1
OG0004730	GBNWX_004885-T1	GBNWY_004879-T1
OG0004731	GBNWX_004889-T1	GBNWY_004876-T1
OG0004732	GBNWX_004890-T1	GBNWY_005029-T1
OG0004733	GBNWX_004891-T1	GBNWY_005028-T1
OG0004734	GBNWX_004892-T1	GBNWY_005027-T1
OG0004735	GBNWX_004893-T1	GBNWY_005026-T1
OG0004736	GBNWX_004896-T1	GBNWY_005023-T1
OG0004737	GBNWX_004898-T1	GBNWY_005020-T1
OG0004738	GBNWX_004899-T1	GBNWY_005019-T1
OG0004739	GBNWX_004900-T1	GBNWY_005018-T1
OG0004740	GBNWX_004901-T1	GBNWY_005016-T1
OG0004741	GBNWX_004903-T1	GBNWY_002502-T1
OG0004742	GBNWX_004904-T1	GBNWY_002503-T1
OG0004743	GBNWX_004905-T1	GBNWY_002504-T1
OG0004744	GBNWX_004906-T1	GBNWY_002505-T1
OG0004745	GBNWX_004909-T1	GBNWY_002508-T1
OG0004746	GBNWX_004910-T1	GBNWY_002509-T1
OG0004747	GBNWX_004911-T1	GBNWY_002510-T1
OG0004748	GBNWX_004912-T1	GBNWY_002511-T1
OG0004749	GBNWX_004913-T1	GBNWY_002512-T1
OG0004750	GBNWX_004914-T1	GBNWY_002513-T1
OG0004751	GBNWX_004915-T1	GBNWY_002514-T1
OG0004752	GBNWX_004916-T1	GBNWY_002515-T1
OG0004753	GBNWX_004917-T1	GBNWY_002516-T1
OG0004754	GBNWX_004919-T1	GBNWY_002518-T1
OG0004755	GBNWX_004920-T1	GBNWY_002519-T1
OG0004756	GBNWX_004921-T1	GBNWY_002520-T1
OG0004757	GBNWX_004922-T1	GBNWY_002521-T1
OG0004758	GBNWX_004923-T1	GBNWY_002522-T1
OG0004759	GBNWX_004924-T1	GBNWY_002523-T1
OG0004760	GBNWX_004925-T1	GBNWY_002524-T1
OG0004761	GBNWX_004926-T1	GBNWY_002525-T1
OG0004762	GBNWX_004927-T1	GBNWY_002526-T1
OG0004763	GBNWX_004928-T1	GBNWY_002527-T1
OG0004764	GBNWX_004930-T1	GBNWY_002529-T1
OG0004765	GBNWX_004931-T1	GBNWY_002530-T1
OG0004766	GBNWX_004933-T1	GBNWY_002531-T1
OG0004767	GBNWX_004934-T1	GBNWY_002532-T1
OG0004768	GBNWX_004935-T1	GBNWY_002533-T1
OG0004769	GBNWX_004936-T1	GBNWY_002534-T1
OG0004770	GBNWX_004937-T1	GBNWY_002535-T1
OG0004771	GBNWX_004939-T1	GBNWY_002537-T1
OG0004772	GBNWX_004940-T1	GBNWY_002538-T1
OG0004773	GBNWX_004941-T1	GBNWY_002539-T1
OG0004774	GBNWX_004942-T1	GBNWY_002540-T1
OG0004775	GBNWX_004943-T1	GBNWY_002541-T1
OG0004776	GBNWX_004944-T1	GBNWY_002542-T1
OG0004777	GBNWX_004945-T1	GBNWY_002543-T1
OG0004778	GBNWX_004946-T1	GBNWY_006814-T1
OG0004779	GBNWX_004947-T1	GBNWY_006813-T1
OG0004780	GBNWX_004949-T1	GBNWY_005617-T1
OG0004781	GBNWX_004950-T1	GBNWY_005616-T1
OG0004782	GBNWX_004952-T1	GBNWY_005614-T1
OG0004783	GBNWX_004953-T1	GBNWY_005613-T1
OG0004784	GBNWX_004954-T1	GBNWY_005612-T1
OG0004785	GBNWX_004955-T1	GBNWY_008689-T1
OG0004786	GBNWX_004956-T1	GBNWY_008688-T1
OG0004787	GBNWX_004957-T1	GBNWY_008687-T1
OG0004788	GBNWX_004959-T1	GBNWY_008685-T1
OG0004789	GBNWX_004961-T1	GBNWY_008684-T1
OG0004790	GBNWX_004962-T1	GBNWY_005030-T1
OG0004791	GBNWX_004964-T1	GBNWY_005032-T1
OG0004792	GBNWX_004966-T1	GBNWY_005034-T1
OG0004793	GBNWX_004967-T1	GBNWY_005035-T1
OG0004794	GBNWX_004968-T1	GBNWY_005036-T1
OG0004795	GBNWX_004969-T1	GBNWY_005037-T1
OG0004796	GBNWX_004971-T1	GBNWY_005039-T1
OG0004797	GBNWX_004972-T1	GBNWY_005040-T1
OG0004798	GBNWX_004973-T1	GBNWY_005041-T1
OG0004799	GBNWX_004974-T1	GBNWY_005042-T1
OG0004800	GBNWX_004975-T1	GBNWY_001306-T1
OG0004801	GBNWX_004976-T1	GBNWY_001305-T1
OG0004802	GBNWX_004979-T1	GBNWY_006371-T1
OG0004803	GBNWX_004980-T1	GBNWY_006372-T1
OG0004804	GBNWX_004981-T1	GBNWY_006373-T1
OG0004805	GBNWX_004982-T1	GBNWY_006374-T1
OG0004806	GBNWX_004983-T1	GBNWY_006375-T1
OG0004807	GBNWX_004985-T1	GBNWY_006376-T1
OG0004808	GBNWX_004987-T1	GBNWY_006377-T1
OG0004809	GBNWX_004988-T1	GBNWY_006378-T1
OG0004810	GBNWX_004989-T1	GBNWY_006379-T1
OG0004811	GBNWX_004990-T1	GBNWY_006380-T1
OG0004812	GBNWX_004991-T1	GBNWY_006381-T1
OG0004813	GBNWX_004993-T1	GBNWY_003019-T1
OG0004814	GBNWX_004994-T1	GBNWY_003018-T1
OG0004815	GBNWX_004995-T1	GBNWY_003017-T1
OG0004816	GBNWX_004996-T1	GBNWY_003016-T1
OG0004817	GBNWX_004997-T1	GBNWY_003015-T1
OG0004818	GBNWX_005000-T1	GBNWY_003012-T1
OG0004819	GBNWX_005001-T1	GBNWY_003011-T1
OG0004820	GBNWX_005003-T1	GBNWY_003009-T1
OG0004821	GBNWX_005004-T1	GBNWY_003008-T1
OG0004822	GBNWX_005005-T1	GBNWY_003007-T1
OG0004823	GBNWX_005007-T1	GBNWY_000597-T1
OG0004824	GBNWX_005009-T1	GBNWY_000599-T1
OG0004825	GBNWX_005010-T1	GBNWY_000600-T1
OG0004826	GBNWX_005011-T1	GBNWY_000601-T1
OG0004827	GBNWX_005012-T1	GBNWY_000602-T1
OG0004828	GBNWX_005013-T1	GBNWY_000603-T1
OG0004829	GBNWX_005014-T1	GBNWY_000604-T1
OG0004830	GBNWX_005017-T1	GBNWY_000608-T1
OG0004831	GBNWX_005018-T1	GBNWY_000609-T1
OG0004832	GBNWX_005021-T1	GBNWY_005130-T1
OG0004833	GBNWX_005023-T1	GBNWY_005133-T1
OG0004834	GBNWX_005025-T1	GBNWY_005136-T1
OG0004835	GBNWX_005027-T1	GBNWY_005138-T1
OG0004836	GBNWX_005028-T1	GBNWY_005139-T1
OG0004837	GBNWX_005030-T1	GBNWY_005141-T1
OG0004838	GBNWX_005031-T1	GBNWY_005142-T1
OG0004839	GBNWX_005033-T1	GBNWY_009405-T1
OG0004840	GBNWX_005035-T1	GBNWY_002202-T1
OG0004841	GBNWX_005036-T1	GBNWY_002203-T1
OG0004842	GBNWX_005037-T1	GBNWY_002204-T1
OG0004843	GBNWX_005038-T1	GBNWY_002205-T1
OG0004844	GBNWX_005039-T1	GBNWY_002206-T1
OG0004845	GBNWX_005040-T1	GBNWY_008863-T1
OG0004846	GBNWX_005041-T1	GBNWY_008864-T1
OG0004847	GBNWX_005042-T1	GBNWY_009123-T1
OG0004848	GBNWX_005045-T1	GBNWY_009125-T1
OG0004849	GBNWX_005046-T1	GBNWY_009126-T1
OG0004850	GBNWX_005048-T1	GBNWY_005054-T1
OG0004851	GBNWX_005049-T1	GBNWY_005053-T1
OG0004852	GBNWX_005053-T1	GBNWY_005051-T1
OG0004853	GBNWX_005054-T1	GBNWY_005050-T1
OG0004854	GBNWX_005055-T1	GBNWY_005049-T1
OG0004855	GBNWX_005056-T1	GBNWY_005048-T1
OG0004856	GBNWX_005058-T1	GBNWY_005045-T1
OG0004857	GBNWX_005059-T1	GBNWY_005044-T1
OG0004858	GBNWX_005060-T1	GBNWY_005043-T1
OG0004859	GBNWX_005061-T1	GBNWY_005081-T1
OG0004860	GBNWX_005062-T1	GBNWY_005080-T1
OG0004861	GBNWX_005063-T1	GBNWY_005079-T1
OG0004862	GBNWX_005064-T1	GBNWY_005078-T1
OG0004863	GBNWX_005065-T1	GBNWY_005077-T1
OG0004864	GBNWX_005066-T1	GBNWY_005076-T1
OG0004865	GBNWX_005067-T1	GBNWY_005075-T1
OG0004866	GBNWX_005068-T1	GBNWY_005074-T1
OG0004867	GBNWX_005069-T1	GBNWY_005073-T1
OG0004868	GBNWX_005070-T1	GBNWY_005072-T1
OG0004869	GBNWX_005071-T1	GBNWY_005071-T1
OG0004870	GBNWX_005073-T1	GBNWY_005069-T1
OG0004871	GBNWX_005074-T1	GBNWY_005068-T1
OG0004872	GBNWX_005076-T1	GBNWY_005111-T1
OG0004873	GBNWX_005077-T1	GBNWY_005112-T1
OG0004874	GBNWX_005078-T1	GBNWY_005113-T1
OG0004875	GBNWX_005081-T1	GBNWY_005116-T1
OG0004876	GBNWX_005082-T1	GBNWY_005117-T1
OG0004877	GBNWX_005083-T1	GBNWY_005118-T1
OG0004878	GBNWX_005084-T1	GBNWY_006571-T1
OG0004879	GBNWX_005085-T1	GBNWY_006570-T1
OG0004880	GBNWX_005086-T1	GBNWY_006569-T1
OG0004881	GBNWX_005087-T1	GBNWY_006568-T1
OG0004882	GBNWX_005088-T1	GBNWY_006567-T1
OG0004883	GBNWX_005089-T1	GBNWY_006566-T1
OG0004884	GBNWX_005091-T1	GBNWY_006564-T1
OG0004885	GBNWX_005093-T1	GBNWY_006562-T1
OG0004886	GBNWX_005094-T1	GBNWY_006561-T1
OG0004887	GBNWX_005095-T1	GBNWY_006560-T1
OG0004888	GBNWX_005098-T1	GBNWY_006557-T1
OG0004889	GBNWX_005099-T1	GBNWY_006556-T1
OG0004890	GBNWX_005100-T1	GBNWY_006555-T1
OG0004891	GBNWX_005102-T1	GBNWY_006553-T1
OG0004892	GBNWX_005105-T1	GBNWY_006550-T1
OG0004893	GBNWX_005106-T1	GBNWY_006549-T1
OG0004894	GBNWX_005107-T1	GBNWY_006548-T1
OG0004895	GBNWX_005109-T1	GBNWY_006546-T1
OG0004896	GBNWX_005110-T1	GBNWY_006545-T1
OG0004897	GBNWX_005111-T1	GBNWY_006544-T1
OG0004898	GBNWX_005112-T1	GBNWY_006543-T1
OG0004899	GBNWX_005113-T1	GBNWY_006542-T1
OG0004900	GBNWX_005114-T1	GBNWY_006541-T1
OG0004901	GBNWX_005115-T1	GBNWY_006540-T1
OG0004902	GBNWX_005116-T1	GBNWY_006539-T1
OG0004903	GBNWX_005117-T1	GBNWY_006538-T1
OG0004904	GBNWX_005118-T1	GBNWY_006537-T1
OG0004905	GBNWX_005119-T1	GBNWY_006536-T1
OG0004906	GBNWX_005120-T1	GBNWY_006535-T1
OG0004907	GBNWX_005121-T1	GBNWY_006534-T1
OG0004908	GBNWX_005122-T1	GBNWY_006533-T1
OG0004909	GBNWX_005123-T1	GBNWY_006532-T1
OG0004910	GBNWX_005124-T1	GBNWY_006531-T1
OG0004911	GBNWX_005125-T1	GBNWY_006530-T1
OG0004912	GBNWX_005126-T1	GBNWY_006529-T1
OG0004913	GBNWX_005128-T1	GBNWY_006527-T1
OG0004914	GBNWX_005129-T1	GBNWY_006526-T1
OG0004915	GBNWX_005131-T1	GBNWY_006524-T1
OG0004916	GBNWX_005133-T1	GBNWY_002274-T1
OG0004917	GBNWX_005134-T1	GBNWY_002273-T1
OG0004918	GBNWX_005135-T1	GBNWY_002272-T1
OG0004919	GBNWX_005136-T1	GBNWY_002270-T1
OG0004920	GBNWX_005137-T1	GBNWY_002269-T1
OG0004921	GBNWX_005141-T1	GBNWY_002265-T1
OG0004922	GBNWX_005142-T1	GBNWY_010612-T1
OG0004923	GBNWX_005143-T1	GBNWY_010610-T1
OG0004924	GBNWX_005144-T1	GBNWY_006421-T1
OG0004925	GBNWX_005145-T1	GBNWY_006420-T1
OG0004926	GBNWX_005146-T1	GBNWY_006419-T1
OG0004927	GBNWX_005147-T1	GBNWY_006418-T1
OG0004928	GBNWX_005148-T1	GBNWY_006417-T1
OG0004929	GBNWX_005149-T1	GBNWY_006416-T1
OG0004930	GBNWX_005150-T1	GBNWY_006415-T1
OG0004931	GBNWX_005151-T1	GBNWY_006413-T1
OG0004932	GBNWX_005152-T1	GBNWY_006412-T1
OG0004933	GBNWX_005153-T1	GBNWY_006411-T1
OG0004934	GBNWX_005155-T1	GBNWY_006409-T1
OG0004935	GBNWX_005157-T1	GBNWY_005119-T1
OG0004936	GBNWX_005158-T1	GBNWY_005120-T1
OG0004937	GBNWX_005159-T1	GBNWY_005122-T1
OG0004938	GBNWX_005161-T1	GBNWY_005124-T1
OG0004939	GBNWX_005162-T1	GBNWY_005125-T1
OG0004940	GBNWX_005163-T1	GBNWY_005126-T1
OG0004941	GBNWX_005165-T1	GBNWY_005128-T1
OG0004942	GBNWX_005166-T1	GBNWY_005129-T1
OG0004943	GBNWX_005168-T1	GBNWY_004852-T1
OG0004944	GBNWX_005169-T1	GBNWY_004853-T1
OG0004945	GBNWX_005170-T1	GBNWY_004854-T1
OG0004946	GBNWX_005171-T1	GBNWY_004855-T1
OG0004947	GBNWX_005173-T1	GBNWY_004857-T1
OG0004948	GBNWX_005174-T1	GBNWY_004858-T1
OG0004949	GBNWX_005175-T1	GBNWY_004859-T1
OG0004950	GBNWX_005176-T1	GBNWY_004860-T1
OG0004951	GBNWX_005177-T1	GBNWY_004861-T1
OG0004952	GBNWX_005178-T1	GBNWY_004862-T1
OG0004953	GBNWX_005179-T1	GBNWY_008135-T1
OG0004954	GBNWX_005180-T1	GBNWY_008134-T1
OG0004955	GBNWX_005181-T1	GBNWY_008133-T1
OG0004956	GBNWX_005182-T1	GBNWY_008132-T1
OG0004957	GBNWX_005183-T1	GBNWY_008131-T1
OG0004958	GBNWX_005184-T1	GBNWY_008130-T1
OG0004959	GBNWX_005185-T1	GBNWY_007948-T1
OG0004960	GBNWX_005186-T1	GBNWY_007947-T1
OG0004961	GBNWX_005187-T1	GBNWY_007946-T1
OG0004962	GBNWX_005189-T1	GBNWY_007944-T1
OG0004963	GBNWX_005195-T1	GBNWY_008163-T1
OG0004964	GBNWX_005196-T1	GBNWY_008162-T1
OG0004965	GBNWX_005197-T1	GBNWY_008161-T1
OG0004966	GBNWX_005198-T1	GBNWY_008160-T1
OG0004967	GBNWX_005199-T1	GBNWY_008159-T1
OG0004968	GBNWX_005200-T1	GBNWY_008158-T1
OG0004969	GBNWX_005201-T1	GBNWY_007823-T1
OG0004970	GBNWX_005202-T1	GBNWY_007822-T1
OG0004971	GBNWX_005203-T1	GBNWY_007821-T1
OG0004972	GBNWX_005204-T1	GBNWY_007820-T1
OG0004973	GBNWX_005205-T1	GBNWY_007819-T1
OG0004974	GBNWX_005206-T1	GBNWY_007818-T1
OG0004975	GBNWX_005208-T1	GBNWY_007816-T1
OG0004976	GBNWX_005209-T1	GBNWY_007815-T1
OG0004977	GBNWX_005210-T1	GBNWY_007814-T1
OG0004978	GBNWX_005211-T1	GBNWY_007813-T1
OG0004979	GBNWX_005212-T1	GBNWY_005109-T1
OG0004980	GBNWX_005213-T1	GBNWY_005108-T1
OG0004981	GBNWX_005214-T1	GBNWY_005107-T1
OG0004982	GBNWX_005215-T1	GBNWY_005106-T1
OG0004983	GBNWX_005216-T1	GBNWY_005105-T1
OG0004984	GBNWX_005217-T1	GBNWY_005104-T1
OG0004985	GBNWX_005218-T1	GBNWY_005103-T1
OG0004986	GBNWX_005219-T1	GBNWY_005102-T1
OG0004987	GBNWX_005220-T1	GBNWY_005101-T1
OG0004988	GBNWX_005221-T1	GBNWY_005100-T1
OG0004989	GBNWX_005222-T1	GBNWY_005099-T1
OG0004990	GBNWX_005225-T1	GBNWY_005097-T1
OG0004991	GBNWX_005227-T1	GBNWY_005213-T1
OG0004992	GBNWX_005228-T1	GBNWY_005214-T1
OG0004993	GBNWX_005230-T1	GBNWY_005216-T1
OG0004994	GBNWX_005231-T1	GBNWY_005217-T1
OG0004995	GBNWX_005232-T1	GBNWY_005218-T1
OG0004996	GBNWX_005233-T1	GBNWY_005219-T1
OG0004997	GBNWX_005235-T1	GBNWY_005221-T1
OG0004998	GBNWX_005236-T1	GBNWY_005222-T1
OG0004999	GBNWX_005238-T1	GBNWY_005224-T1
OG0005000	GBNWX_005240-T1	GBNWY_005226-T1
OG0005001	GBNWX_005241-T1	GBNWY_005309-T1
OG0005002	GBNWX_005242-T1	GBNWY_005308-T1
OG0005003	GBNWX_005243-T1	GBNWY_005307-T1
OG0005004	GBNWX_005244-T1	GBNWY_005305-T1
OG0005005	GBNWX_005245-T1	GBNWY_005304-T1
OG0005006	GBNWX_005246-T1	GBNWY_005303-T1
OG0005007	GBNWX_005247-T1	GBNWY_005301-T1
OG0005008	GBNWX_005248-T1	GBNWY_005300-T1
OG0005009	GBNWX_005249-T1	GBNWY_005299-T1
OG0005010	GBNWX_005251-T1	GBNWY_005297-T1
OG0005011	GBNWX_005252-T1	GBNWY_005296-T1
OG0005012	GBNWX_005254-T1	GBNWY_005228-T1
OG0005013	GBNWX_005255-T1	GBNWY_005229-T1
OG0005014	GBNWX_005256-T1	GBNWY_005230-T1
OG0005015	GBNWX_005257-T1	GBNWY_005231-T1
OG0005016	GBNWX_005260-T1	GBNWY_005235-T1
OG0005017	GBNWX_005261-T1	GBNWY_005236-T1
OG0005018	GBNWX_005263-T1	GBNWY_008591-T1
OG0005019	GBNWX_005264-T1	GBNWY_008592-T1
OG0005020	GBNWX_005265-T1	GBNWY_003311-T1
OG0005021	GBNWX_005266-T1	GBNWY_003312-T1
OG0005022	GBNWX_005268-T1	GBNWY_003314-T1
OG0005023	GBNWX_005270-T1	GBNWY_003316-T1
OG0005024	GBNWX_005273-T1	GBNWY_003319-T1
OG0005025	GBNWX_005274-T1	GBNWY_003320-T1
OG0005026	GBNWX_005276-T1	GBNWY_003322-T1
OG0005027	GBNWX_005277-T1	GBNWY_003323-T1
OG0005028	GBNWX_005280-T1	GBNWY_003326-T1
OG0005029	GBNWX_005281-T1	GBNWY_003327-T1
OG0005030	GBNWX_005282-T1	GBNWY_003328-T1
OG0005031	GBNWX_005285-T1	GBNWY_003331-T1
OG0005032	GBNWX_005286-T1	GBNWY_003332-T1
OG0005033	GBNWX_005287-T1	GBNWY_003333-T1
OG0005034	GBNWX_005288-T1	GBNWY_003334-T1
OG0005035	GBNWX_005289-T1	GBNWY_003335-T1
OG0005036	GBNWX_005290-T1	GBNWY_003336-T1
OG0005037	GBNWX_005291-T1	GBNWY_003337-T1
OG0005038	GBNWX_005293-T1	GBNWY_003339-T1
OG0005039	GBNWX_005294-T1	GBNWY_003340-T1
OG0005040	GBNWX_005295-T1	GBNWY_003341-T1
OG0005041	GBNWX_005296-T1	GBNWY_003342-T1
OG0005042	GBNWX_005297-T1	GBNWY_003343-T1
OG0005043	GBNWX_005298-T1	GBNWY_003344-T1
OG0005044	GBNWX_005299-T1	GBNWY_003345-T1
OG0005045	GBNWX_005300-T1	GBNWY_003346-T1
OG0005046	GBNWX_005302-T1	GBNWY_003348-T1
OG0005047	GBNWX_005303-T1	GBNWY_003349-T1
OG0005048	GBNWX_005306-T1	GBNWY_003351-T1
OG0005049	GBNWX_005307-T1	GBNWY_003352-T1
OG0005050	GBNWX_005308-T1	GBNWY_003353-T1
OG0005051	GBNWX_005310-T1	GBNWY_003355-T1
OG0005052	GBNWX_005311-T1	GBNWY_003356-T1
OG0005053	GBNWX_005312-T1	GBNWY_003357-T1
OG0005054	GBNWX_005313-T1	GBNWY_003358-T1
OG0005055	GBNWX_005314-T1	GBNWY_003359-T1
OG0005056	GBNWX_005315-T1	GBNWY_003360-T1
OG0005057	GBNWX_005317-T1	GBNWY_003361-T1
OG0005058	GBNWX_005318-T1	GBNWY_003362-T1
OG0005059	GBNWX_005319-T1	GBNWY_003363-T1
OG0005060	GBNWX_005321-T1	GBNWY_003365-T1
OG0005061	GBNWX_005322-T1	GBNWY_003366-T1
OG0005062	GBNWX_005323-T1	GBNWY_003367-T1
OG0005063	GBNWX_005324-T1	GBNWY_003368-T1
OG0005064	GBNWX_005325-T1	GBNWY_003369-T1
OG0005065	GBNWX_005326-T1	GBNWY_003370-T1
OG0005066	GBNWX_005327-T1	GBNWY_003371-T1
OG0005067	GBNWX_005328-T1	GBNWY_003372-T1
OG0005068	GBNWX_005329-T1	GBNWY_003373-T1
OG0005069	GBNWX_005330-T1	GBNWY_003374-T1
OG0005070	GBNWX_005331-T1	GBNWY_003375-T1
OG0005071	GBNWX_005332-T1	GBNWY_003376-T1
OG0005072	GBNWX_005333-T1	GBNWY_003377-T1
OG0005073	GBNWX_005334-T1	GBNWY_003378-T1
OG0005074	GBNWX_005335-T1	GBNWY_003379-T1
OG0005075	GBNWX_005336-T1	GBNWY_003380-T1
OG0005076	GBNWX_005337-T1	GBNWY_003381-T1
OG0005077	GBNWX_005338-T1	GBNWY_003382-T1
OG0005078	GBNWX_005339-T1	GBNWY_004419-T1
OG0005079	GBNWX_005340-T1	GBNWY_004418-T1
OG0005080	GBNWX_005343-T1	GBNWY_004415-T1
OG0005081	GBNWX_005345-T1	GBNWY_007488-T1
OG0005082	GBNWX_005346-T1	GBNWY_007489-T1
OG0005083	GBNWX_005347-T1	GBNWY_007490-T1
OG0005084	GBNWX_005348-T1	GBNWY_007491-T1
OG0005085	GBNWX_005349-T1	GBNWY_007492-T1
OG0005086	GBNWX_005350-T1	GBNWY_007493-T1
OG0005087	GBNWX_005353-T1	GBNWY_007496-T1
OG0005088	GBNWX_005354-T1	GBNWY_007497-T1
OG0005089	GBNWX_005355-T1	GBNWY_007498-T1
OG0005090	GBNWX_005356-T1	GBNWY_007499-T1
OG0005091	GBNWX_005357-T1	GBNWY_007500-T1
OG0005092	GBNWX_005358-T1	GBNWY_007501-T1
OG0005093	GBNWX_005359-T1	GBNWY_007502-T1
OG0005094	GBNWX_005365-T1	GBNWY_007506-T1
OG0005095	GBNWX_005366-T1	GBNWY_007507-T1
OG0005096	GBNWX_005367-T1	GBNWY_007508-T1
OG0005097	GBNWX_005369-T1	GBNWY_007510-T1
OG0005098	GBNWX_005370-T1	GBNWY_007511-T1
OG0005099	GBNWX_005371-T1	GBNWY_007512-T1
OG0005100	GBNWX_005372-T1	GBNWY_007513-T1
OG0005101	GBNWX_005373-T1	GBNWY_007514-T1
OG0005102	GBNWX_005374-T1	GBNWY_007515-T1
OG0005103	GBNWX_005375-T1	GBNWY_007516-T1
OG0005104	GBNWX_005376-T1	GBNWY_007517-T1
OG0005105	GBNWX_005377-T1	GBNWY_007518-T1
OG0005106	GBNWX_005378-T1	GBNWY_007519-T1
OG0005107	GBNWX_005379-T1	GBNWY_007520-T1
OG0005108	GBNWX_005380-T1	GBNWY_007521-T1
OG0005109	GBNWX_005381-T1	GBNWY_007522-T1
OG0005110	GBNWX_005382-T1	GBNWY_007523-T1
OG0005111	GBNWX_005383-T1	GBNWY_007524-T1
OG0005112	GBNWX_005384-T1	GBNWY_007525-T1
OG0005113	GBNWX_005385-T1	GBNWY_007526-T1
OG0005114	GBNWX_005386-T1	GBNWY_007527-T1
OG0005115	GBNWX_005387-T1	GBNWY_007528-T1
OG0005116	GBNWX_005388-T1	GBNWY_007529-T1
OG0005117	GBNWX_005389-T1	GBNWY_007530-T1
OG0005118	GBNWX_005390-T1	GBNWY_007531-T1
OG0005119	GBNWX_005391-T1	GBNWY_000357-T1
OG0005120	GBNWX_005392-T1	GBNWY_000356-T1
OG0005121	GBNWX_005393-T1	GBNWY_000355-T1
OG0005122	GBNWX_005396-T1	GBNWY_000352-T1
OG0005123	GBNWX_005397-T1	GBNWY_000351-T1
OG0005124	GBNWX_005398-T1	GBNWY_000350-T1
OG0005125	GBNWX_005399-T1	GBNWY_000349-T1
OG0005126	GBNWX_005400-T1	GBNWY_000348-T1
OG0005127	GBNWX_005401-T1	GBNWY_000347-T1
OG0005128	GBNWX_005403-T1	GBNWY_000345-T1
OG0005129	GBNWX_005405-T1	GBNWY_000343-T1
OG0005130	GBNWX_005406-T1	GBNWY_000342-T1
OG0005131	GBNWX_005407-T1	GBNWY_000341-T1
OG0005132	GBNWX_005408-T1	GBNWY_000340-T1
OG0005133	GBNWX_005409-T1	GBNWY_005245-T1
OG0005134	GBNWX_005410-T1	GBNWY_005244-T1
OG0005135	GBNWX_005412-T1	GBNWY_005242-T1
OG0005136	GBNWX_005414-T1	GBNWY_005241-T1
OG0005137	GBNWX_005416-T1	GBNWY_005239-T1
OG0005138	GBNWX_005419-T1	GBNWY_005260-T1
OG0005139	GBNWX_005422-T1	GBNWY_005262-T1
OG0005140	GBNWX_005423-T1	GBNWY_005263-T1
OG0005141	GBNWX_005424-T1	GBNWY_005264-T1
OG0005142	GBNWX_005425-T1	GBNWY_005265-T1
OG0005143	GBNWX_005426-T1	GBNWY_005266-T1
OG0005144	GBNWX_005427-T1	GBNWY_005267-T1
OG0005145	GBNWX_005428-T1	GBNWY_005268-T1
OG0005146	GBNWX_005429-T1	GBNWY_005269-T1
OG0005147	GBNWX_005431-T1	GBNWY_005271-T1
OG0005148	GBNWX_005432-T1	GBNWY_005272-T1
OG0005149	GBNWX_005433-T1	GBNWY_005273-T1
OG0005150	GBNWX_005434-T1	GBNWY_005274-T1
OG0005151	GBNWX_005435-T1	GBNWY_005275-T1
OG0005152	GBNWX_005438-T1	GBNWY_005278-T1
OG0005153	GBNWX_005439-T1	GBNWY_005279-T1
OG0005154	GBNWX_005440-T1	GBNWY_005280-T1
OG0005155	GBNWX_005441-T1	GBNWY_005281-T1
OG0005156	GBNWX_005442-T1	GBNWY_008053-T1
OG0005157	GBNWX_005443-T1	GBNWY_008052-T1
OG0005158	GBNWX_005444-T1	GBNWY_008051-T1
OG0005159	GBNWX_005445-T1	GBNWY_010142-T1
OG0005160	GBNWX_005447-T1	GBNWY_009400-T1
OG0005161	GBNWX_005448-T1	GBNWY_009401-T1
OG0005162	GBNWX_005449-T1	GBNWY_009402-T1
