	Pirella_circinans_RSA_622-.aa	Pirella_circinans_RSA_682.aa
OG0010324		GBNTX_008908-T1
OG0010325		GBNTX_008947-T1
OG0010326		GBNTX_008969-T1
OG0010327		GBNTX_008975-T1
OG0010328		GBNTX_008994-T1
OG0010329		GBNTX_008995-T1
OG0010330		GBNTX_009011-T1
OG0010331		GBNTX_009016-T1
OG0010332		GBNTX_009017-T1
OG0010333		GBNTX_009027-T1
OG0010334		GBNTX_009044-T1
OG0010335		GBNTX_009045-T1
OG0010336		GBNTX_009048-T1
OG0010337		GBNTX_009055-T1
OG0010338		GBNTX_009065-T1
OG0010339		GBNTX_009081-T1
OG0010340		GBNTX_009089-T1
OG0010341		GBNTX_009130-T1
OG0010342		GBNTX_009160-T1
OG0010343		GBNTX_009236-T1
OG0010344		GBNTX_009238-T1
OG0010345		GBNTX_009251-T1
OG0010346		GBNTX_009274-T1
OG0010347		GBNTX_009275-T1
OG0010348		GBNTX_009278-T1
OG0010349		GBNTX_009309-T1
OG0010350		GBNTX_009325-T1
OG0010351		GBNTX_009332-T1
OG0010352		GBNTX_009347-T1
OG0010353		GBNTX_009383-T1
OG0010354		GBNTX_009388-T1
OG0010355		GBNTX_009400-T1
OG0010356		GBNTX_009409-T1
OG0010357		GBNTX_009421-T1
OG0010358		GBNTX_009450-T1
OG0010359		GBNTX_009471-T1
OG0010360		GBNTX_009472-T1
OG0010361		GBNTX_009485-T1
OG0010362		GBNTX_009505-T1
OG0010363		GBNTX_009523-T1
OG0010364		GBNTX_009525-T1
OG0010365		GBNTX_009558-T1
OG0010366		GBNTX_009585-T1
OG0010367		GBNTX_009587-T1
OG0010368		GBNTX_009635-T1
OG0010369		GBNTX_009649-T1
OG0010370		GBNTX_009654-T1
OG0010371		GBNTX_009671-T1
OG0010372		GBNTX_009675-T1
OG0010373		GBNTX_009678-T1
OG0010374		GBNTX_009684-T1
OG0010375		GBNTX_009686-T1
OG0010376		GBNTX_009732-T1
OG0010377		GBNTX_009766-T1
OG0010378		GBNTX_009805-T1
OG0010379		GBNTX_009813-T1
OG0010380		GBNTX_009873-T1
OG0010381		GBNTX_009874-T1
OG0010382		GBNTX_009875-T1
OG0010383		GBNTX_009878-T1
OG0010384		GBNTX_009944-T1
OG0010385		GBNTX_009959-T1
OG0010386		GBNTX_009965-T1
OG0010387		GBNTX_009970-T1
OG0010388		GBNTX_009975-T1
OG0010389		GBNTX_009983-T1
OG0010390		GBNTX_009985-T1
OG0010391		GBNTX_009986-T1
OG0010392		GBNTX_009988-T1
OG0010393		GBNTX_009993-T1
OG0010394		GBNTX_010003-T1
OG0010395		GBNTX_010013-T1
OG0010396		GBNTX_010025-T1
OG0010397		GBNTX_010031-T1
OG0010398		GBNTX_010059-T1
OG0010399		GBNTX_010084-T1
OG0010400		GBNTX_010085-T1
OG0010401		GBNTX_010096-T1
OG0010402		GBNTX_010110-T1
OG0010403		GBNTX_010136-T1
OG0010404		GBNTX_010158-T1
OG0010405		GBNTX_010169-T1
OG0010406		GBNTX_010182-T1
OG0010407		GBNTX_010184-T1
OG0010408		GBNTX_010246-T1
OG0010409		GBNTX_010303-T1
OG0010410		GBNTX_010311-T1
OG0010411		GBNTX_010313-T1
OG0010412		GBNTX_010317-T1
OG0010413		GBNTX_010365-T1
OG0010414		GBNTX_010377-T1
OG0010415		GBNTX_010397-T1
OG0010416		GBNTX_010402-T1
OG0010417		GBNTX_010408-T1
OG0010418		GBNTX_010420-T1
OG0010419		GBNTX_010424-T1
OG0010420		GBNTX_010457-T1
OG0010421		GBNTX_010458-T1
OG0010422		GBNTX_010466-T1
OG0010423		GBNTX_010473-T1
OG0010424		GBNTX_010475-T1
OG0010425		GBNTX_010489-T1
OG0010426		GBNTX_010509-T1
OG0010427		GBNTX_010514-T1
OG0010428		GBNTX_010516-T1
OG0010429		GBNTX_010527-T1
OG0010430		GBNTX_010533-T1
OG0010431		GBNTX_010555-T1
OG0010432		GBNTX_010563-T1
OG0010433		GBNTX_010581-T1
OG0010434		GBNTX_010590-T1
OG0010435		GBNTX_010634-T1
OG0010436		GBNTX_010637-T1
OG0010437		GBNTX_010642-T1
OG0010438		GBNTX_010644-T1
OG0010439		GBNTX_010648-T1
OG0010440		GBNTX_010661-T1
OG0010441		GBNTX_010681-T1
OG0010442		GBNTX_010683-T1
OG0010443		GBNTX_010703-T1
OG0010444		GBNTX_010714-T1
OG0010445		GBNTX_010720-T1
OG0010446		GBNTX_010730-T1
OG0010447		GBNTX_010739-T1
OG0010448		GBNTX_010751-T1
OG0010449		GBNTX_010778-T1
OG0010450		GBNTX_010788-T1
OG0010451		GBNTX_010790-T1
OG0010452		GBNTX_010804-T1
OG0010453		GBNTX_010810-T1
OG0010454		GBNTX_010822-T1
OG0010455		GBNTX_010830-T1
OG0010456		GBNTX_010850-T1
OG0010457		GBNTX_010858-T1
OG0010458		GBNTX_010860-T1
OG0010459		GBNTX_010862-T1
OG0010460		GBNTX_010868-T1
OG0010461		GBNTX_010887-T1
OG0010462		GBNTX_010892-T1
OG0010463		GBNTX_010893-T1
OG0010464		GBNTX_010955-T1
OG0010465		GBNTX_010970-T1
OG0010466		GBNTX_010972-T1
OG0010467		GBNTX_010987-T1
OG0010468		GBNTX_011024-T1
OG0010469		GBNTX_011026-T1
OG0010470		GBNTX_011036-T1
OG0010471		GBNTX_011052-T1
OG0010472		GBNTX_011058-T1
OG0010473		GBNTX_011082-T1
OG0010474		GBNTX_011126-T1
OG0010475		GBNTX_011131-T1
OG0010476		GBNTX_011132-T1
OG0010477		GBNTX_011138-T1
OG0010478		GBNTX_011149-T1
OG0010479		GBNTX_011164-T1
OG0010480		GBNTX_011175-T1
OG0010481		GBNTX_011176-T1
OG0010482		GBNTX_011177-T1
OG0010483		GBNTX_011186-T1
OG0010484		GBNTX_011200-T1
OG0010485		GBNTX_011204-T1
OG0010486		GBNTX_011212-T1
OG0010487		GBNTX_011219-T1
OG0010488		GBNTX_011222-T1
OG0010489		GBNTX_011273-T1
OG0010490		GBNTX_011274-T1
OG0010491		GBNTX_011300-T1
OG0010492		GBNTX_011329-T1
OG0010493		GBNTX_011337-T1
OG0010494		GBNTX_011376-T1
OG0010495		GBNTX_011382-T1
OG0010496		GBNTX_011393-T1
OG0010497		GBNTX_011394-T1
OG0010498		GBNTX_011395-T1
OG0010499		GBNTX_011396-T1
OG0010500		GBNTX_011433-T1
OG0010501		GBNTX_011435-T1
