	Gilbertella_persicariavar.persicaria_CBS_190.32-T.aa	Gilbertella_persicariavar.persicaria_CBS_246.59_Plus.aa
OG0003018	GBNWN_003027-T1	GBNWO_006891-T1
OG0003019	GBNWN_003028-T1	GBNWO_006892-T1
OG0003020	GBNWN_003029-T1	GBNWO_006893-T1
OG0003021	GBNWN_003030-T1	GBNWO_006894-T1
OG0003022	GBNWN_003031-T1	GBNWO_006895-T1
OG0003023	GBNWN_003033-T1	GBNWO_007718-T1
OG0003024	GBNWN_003034-T1	GBNWO_007719-T1
OG0003025	GBNWN_003035-T1	GBNWO_007720-T1
OG0003026	GBNWN_003036-T1	GBNWO_007721-T1
OG0003027	GBNWN_003037-T1	GBNWO_007722-T1
OG0003028	GBNWN_003040-T1	GBNWO_007725-T1
OG0003029	GBNWN_003045-T1	GBNWO_002203-T1
OG0003030	GBNWN_003046-T1	GBNWO_002202-T1
OG0003031	GBNWN_003047-T1	GBNWO_002201-T1
OG0003032	GBNWN_003048-T1	GBNWO_002200-T1
OG0003033	GBNWN_003049-T1	GBNWO_002199-T1
OG0003034	GBNWN_003050-T1	GBNWO_002198-T1
OG0003035	GBNWN_003051-T1	GBNWO_002197-T1
OG0003036	GBNWN_003052-T1	GBNWO_002196-T1
OG0003037	GBNWN_003056-T1	GBNWO_009417-T1
OG0003038	GBNWN_003057-T1	GBNWO_009418-T1
OG0003039	GBNWN_003059-T1	GBNWO_006739-T1
OG0003040	GBNWN_003061-T1	GBNWO_006737-T1
OG0003041	GBNWN_003062-T1	GBNWO_002012-T1
OG0003042	GBNWN_003064-T1	GBNWO_002009-T1
OG0003043	GBNWN_003065-T1	GBNWO_002008-T1
OG0003044	GBNWN_003067-T1	GBNWO_002006-T1
OG0003045	GBNWN_003071-T1	GBNWO_002002-T1
OG0003046	GBNWN_003072-T1	GBNWO_005780-T1
OG0003047	GBNWN_003074-T1	GBNWO_005782-T1
OG0003048	GBNWN_003076-T1	GBNWO_005784-T1
OG0003049	GBNWN_003077-T1	GBNWO_005785-T1
OG0003050	GBNWN_003080-T1	GBNWO_005788-T1
OG0003051	GBNWN_003081-T1	GBNWO_005789-T1
OG0003052	GBNWN_003082-T1	GBNWO_005790-T1
OG0003053	GBNWN_003083-T1	GBNWO_005791-T1
OG0003054	GBNWN_003084-T1	GBNWO_005792-T1
OG0003055	GBNWN_003086-T1	GBNWO_005794-T1
OG0003056	GBNWN_003088-T1	GBNWO_005655-T1
OG0003057	GBNWN_003089-T1	GBNWO_002099-T1
OG0003058	GBNWN_003090-T1	GBNWO_006701-T1
OG0003059	GBNWN_003091-T1	GBNWO_006700-T1
OG0003060	GBNWN_003092-T1	GBNWO_006699-T1
OG0003061	GBNWN_003095-T1	GBNWO_006697-T1
OG0003062	GBNWN_003096-T1	GBNWO_006696-T1
OG0003063	GBNWN_003097-T1	GBNWO_006695-T1
OG0003064	GBNWN_003099-T1	GBNWO_006692-T1
OG0003065	GBNWN_003100-T1	GBNWO_006691-T1
OG0003066	GBNWN_003101-T1	GBNWO_006690-T1
OG0003067	GBNWN_003104-T1	GBNWO_006687-T1
OG0003068	GBNWN_003106-T1	GBNWO_003654-T1
OG0003069	GBNWN_003109-T1	GBNWO_003651-T1
OG0003070	GBNWN_003110-T1	GBNWO_003650-T1
OG0003071	GBNWN_003111-T1	GBNWO_003649-T1
OG0003072	GBNWN_003114-T1	GBNWO_008045-T1
OG0003073	GBNWN_003116-T1	GBNWO_008046-T1
OG0003074	GBNWN_003119-T1	GBNWO_008049-T1
OG0003075	GBNWN_003120-T1	GBNWO_008050-T1
OG0003076	GBNWN_003121-T1	GBNWO_008051-T1
OG0003077	GBNWN_003122-T1	GBNWO_008052-T1
OG0003078	GBNWN_003124-T1	GBNWO_008054-T1
OG0003079	GBNWN_003125-T1	GBNWO_008055-T1
OG0003080	GBNWN_003127-T1	GBNWO_008057-T1
OG0003081	GBNWN_003129-T1	GBNWO_009139-T1
OG0003082	GBNWN_003130-T1	GBNWO_009140-T1
OG0003083	GBNWN_003131-T1	GBNWO_009142-T1
OG0003084	GBNWN_003132-T1	GBNWO_009143-T1
OG0003085	GBNWN_003133-T1	GBNWO_006521-T1
OG0003086	GBNWN_003136-T1	GBNWO_006518-T1
OG0003087	GBNWN_003137-T1	GBNWO_008073-T1
OG0003088	GBNWN_003138-T1	GBNWO_008072-T1
OG0003089	GBNWN_003139-T1	GBNWO_008071-T1
OG0003090	GBNWN_003142-T1	GBNWO_004158-T1
OG0003091	GBNWN_003143-T1	GBNWO_000077-T1
OG0003092	GBNWN_003146-T1	GBNWO_000074-T1
OG0003093	GBNWN_003149-T1	GBNWO_004556-T1
OG0003094	GBNWN_003150-T1	GBNWO_004557-T1
OG0003095	GBNWN_003153-T1	GBNWO_000394-T1
OG0003096	GBNWN_003154-T1	GBNWO_004972-T1
OG0003097	GBNWN_003155-T1	GBNWO_006901-T1
OG0003098	GBNWN_003156-T1	GBNWO_006900-T1
OG0003099	GBNWN_003158-T1	GBNWO_006897-T1
OG0003100	GBNWN_003160-T1	GBNWO_004289-T1
OG0003101	GBNWN_003161-T1	GBNWO_007181-T1
OG0003102	GBNWN_003162-T1	GBNWO_007182-T1
OG0003103	GBNWN_003163-T1	GBNWO_007183-T1
OG0003104	GBNWN_003164-T1	GBNWO_007184-T1
OG0003105	GBNWN_003165-T1	GBNWO_007185-T1
OG0003106	GBNWN_003166-T1	GBNWO_007186-T1
OG0003107	GBNWN_003167-T1	GBNWO_005031-T1
OG0003108	GBNWN_003169-T1	GBNWO_003690-T1
OG0003109	GBNWN_003170-T1	GBNWO_004448-T1
OG0003110	GBNWN_003172-T1	GBNWO_004450-T1
OG0003111	GBNWN_003173-T1	GBNWO_004451-T1
OG0003112	GBNWN_003174-T1	GBNWO_004452-T1
OG0003113	GBNWN_003176-T1	GBNWO_002936-T1
OG0003114	GBNWN_003180-T1	GBNWO_000657-T1
OG0003115	GBNWN_003181-T1	GBNWO_004793-T1
OG0003116	GBNWN_003182-T1	GBNWO_005441-T1
OG0003117	GBNWN_003185-T1	GBNWO_006845-T1
OG0003118	GBNWN_003186-T1	GBNWO_002191-T1
OG0003119	GBNWN_003187-T1	GBNWO_002192-T1
OG0003120	GBNWN_003188-T1	GBNWO_002193-T1
OG0003121	GBNWN_003190-T1	GBNWO_004105-T1
OG0003122	GBNWN_003191-T1	GBNWO_004106-T1
OG0003123	GBNWN_003193-T1	GBNWO_004108-T1
OG0003124	GBNWN_003194-T1	GBNWO_004109-T1
OG0003125	GBNWN_003196-T1	GBNWO_004111-T1
OG0003126	GBNWN_003197-T1	GBNWO_004112-T1
OG0003127	GBNWN_003198-T1	GBNWO_004113-T1
OG0003128	GBNWN_003202-T1	GBNWO_007110-T1
OG0003129	GBNWN_003203-T1	GBNWO_007111-T1
OG0003130	GBNWN_003204-T1	GBNWO_007112-T1
OG0003131	GBNWN_003205-T1	GBNWO_007113-T1
OG0003132	GBNWN_003206-T1	GBNWO_007114-T1
OG0003133	GBNWN_003208-T1	GBNWO_008276-T1
OG0003134	GBNWN_003209-T1	GBNWO_008275-T1
OG0003135	GBNWN_003215-T1	GBNWO_007401-T1
OG0003136	GBNWN_003222-T1	GBNWO_007254-T1
OG0003137	GBNWN_003226-T1	GBNWO_007328-T1
OG0003138	GBNWN_003227-T1	GBNWO_007327-T1
OG0003139	GBNWN_003228-T1	GBNWO_007326-T1
OG0003140	GBNWN_003230-T1	GBNWO_007324-T1
OG0003141	GBNWN_003231-T1	GBNWO_000371-T1
OG0003142	GBNWN_003232-T1	GBNWO_000370-T1
OG0003143	GBNWN_003233-T1	GBNWO_000369-T1
OG0003144	GBNWN_003234-T1	GBNWO_000368-T1
OG0003145	GBNWN_003235-T1	GBNWO_000840-T1
OG0003146	GBNWN_003236-T1	GBNWO_000839-T1
OG0003147	GBNWN_003237-T1	GBNWO_000838-T1
OG0003148	GBNWN_003238-T1	GBNWO_000837-T1
OG0003149	GBNWN_003239-T1	GBNWO_004327-T1
OG0003150	GBNWN_003244-T1	GBNWO_008679-T1
OG0003151	GBNWN_003245-T1	GBNWO_008627-T1
OG0003152	GBNWN_003246-T1	GBNWO_008626-T1
OG0003153	GBNWN_003251-T1	GBNWO_001352-T1
OG0003154	GBNWN_003252-T1	GBNWO_001351-T1
OG0003155	GBNWN_003253-T1	GBNWO_004638-T1
OG0003156	GBNWN_003254-T1	GBNWO_004639-T1
OG0003157	GBNWN_003255-T1	GBNWO_004640-T1
OG0003158	GBNWN_003256-T1	GBNWO_004641-T1
OG0003159	GBNWN_003257-T1	GBNWO_004642-T1
OG0003160	GBNWN_003258-T1	GBNWO_004643-T1
OG0003161	GBNWN_003259-T1	GBNWO_004644-T1
OG0003162	GBNWN_003260-T1	GBNWO_004508-T1
OG0003163	GBNWN_003263-T1	GBNWO_000335-T1
OG0003164	GBNWN_003266-T1	GBNWO_000338-T1
OG0003165	GBNWN_003269-T1	GBNWO_000341-T1
OG0003166	GBNWN_003270-T1	GBNWO_000342-T1
OG0003167	GBNWN_003272-T1	GBNWO_001117-T1
OG0003168	GBNWN_003274-T1	GBNWO_002431-T1
OG0003169	GBNWN_003275-T1	GBNWO_009273-T1
OG0003170	GBNWN_003276-T1	GBNWO_009272-T1
OG0003171	GBNWN_003277-T1	GBNWO_009271-T1
OG0003172	GBNWN_003279-T1	GBNWO_009266-T1
OG0003173	GBNWN_003280-T1	GBNWO_009265-T1
OG0003174	GBNWN_003282-T1	GBNWO_009263-T1
OG0003175	GBNWN_003284-T1	GBNWO_000814-T1
OG0003176	GBNWN_003285-T1	GBNWO_000815-T1
OG0003177	GBNWN_003286-T1	GBNWO_000816-T1
OG0003178	GBNWN_003288-T1	GBNWO_000818-T1
OG0003179	GBNWN_003290-T1	GBNWO_000483-T1
OG0003180	GBNWN_003291-T1	GBNWO_000484-T1
OG0003181	GBNWN_003292-T1	GBNWO_000485-T1
OG0003182	GBNWN_003294-T1	GBNWO_000487-T1
OG0003183	GBNWN_003295-T1	GBNWO_000488-T1
OG0003184	GBNWN_003296-T1	GBNWO_000489-T1
OG0003185	GBNWN_003298-T1	GBNWO_000491-T1
OG0003186	GBNWN_003302-T1	GBNWO_007232-T1
OG0003187	GBNWN_003303-T1	GBNWO_007231-T1
OG0003188	GBNWN_003304-T1	GBNWO_007230-T1
OG0003189	GBNWN_003306-T1	GBNWO_007227-T1
OG0003190	GBNWN_003309-T1	GBNWO_007225-T1
OG0003191	GBNWN_003311-T1	GBNWO_007224-T1
OG0003192	GBNWN_003312-T1	GBNWO_007223-T1
OG0003193	GBNWN_003317-T1	GBNWO_009025-T1
OG0003194	GBNWN_003318-T1	GBNWO_008061-T1
OG0003195	GBNWN_003320-T1	GBNWO_008060-T1
OG0003196	GBNWN_003323-T1	GBNWO_006214-T1
OG0003197	GBNWN_003327-T1	GBNWO_009233-T1
OG0003198	GBNWN_003328-T1	GBNWO_009232-T1
OG0003199	GBNWN_003329-T1	GBNWO_009231-T1
OG0003200	GBNWN_003330-T1	GBNWO_009229-T1
OG0003201	GBNWN_003332-T1	GBNWO_009228-T1
OG0003202	GBNWN_003333-T1	GBNWO_009227-T1
OG0003203	GBNWN_003334-T1	GBNWO_009226-T1
OG0003204	GBNWN_003335-T1	GBNWO_009225-T1
OG0003205	GBNWN_003336-T1	GBNWO_009224-T1
OG0003206	GBNWN_003337-T1	GBNWO_009223-T1
OG0003207	GBNWN_003340-T1	GBNWO_009221-T1
OG0003208	GBNWN_003341-T1	GBNWO_000555-T1
OG0003209	GBNWN_003343-T1	GBNWO_000553-T1
OG0003210	GBNWN_003345-T1	GBNWO_000689-T1
OG0003211	GBNWN_003346-T1	GBNWO_008654-T1
OG0003212	GBNWN_003350-T1	GBNWO_008653-T1
OG0003213	GBNWN_003351-T1	GBNWO_009387-T1
OG0003214	GBNWN_003352-T1	GBNWO_009388-T1
OG0003215	GBNWN_003353-T1	GBNWO_009389-T1
OG0003216	GBNWN_003354-T1	GBNWO_007613-T1
OG0003217	GBNWN_003355-T1	GBNWO_007612-T1
OG0003218	GBNWN_003356-T1	GBNWO_007611-T1
OG0003219	GBNWN_003357-T1	GBNWO_006566-T1
OG0003220	GBNWN_003358-T1	GBNWO_003815-T1
OG0003221	GBNWN_003362-T1	GBNWO_000431-T1
OG0003222	GBNWN_003363-T1	GBNWO_001235-T1
OG0003223	GBNWN_003364-T1	GBNWO_001236-T1
OG0003224	GBNWN_003365-T1	GBNWO_001237-T1
OG0003225	GBNWN_003366-T1	GBNWO_003550-T1
OG0003226	GBNWN_003367-T1	GBNWO_001290-T1
OG0003227	GBNWN_003368-T1	GBNWO_001289-T1
OG0003228	GBNWN_003369-T1	GBNWO_001288-T1
OG0003229	GBNWN_003370-T1	GBNWO_001287-T1
OG0003230	GBNWN_003371-T1	GBNWO_001286-T1
OG0003231	GBNWN_003372-T1	GBNWO_004320-T1
OG0003232	GBNWN_003374-T1	GBNWO_004318-T1
OG0003233	GBNWN_003375-T1	GBNWO_004317-T1
OG0003234	GBNWN_003376-T1	GBNWO_004316-T1
OG0003235	GBNWN_003377-T1	GBNWO_004315-T1
OG0003236	GBNWN_003379-T1	GBNWO_004312-T1
OG0003237	GBNWN_003380-T1	GBNWO_003231-T1
OG0003238	GBNWN_003383-T1	GBNWO_008628-T1
OG0003239	GBNWN_003384-T1	GBNWO_008629-T1
OG0003240	GBNWN_003387-T1	GBNWO_000603-T1
OG0003241	GBNWN_003388-T1	GBNWO_000602-T1
OG0003242	GBNWN_003390-T1	GBNWO_008946-T1
OG0003243	GBNWN_003393-T1	GBNWO_002599-T1
OG0003244	GBNWN_003394-T1	GBNWO_002598-T1
OG0003245	GBNWN_003398-T1	GBNWO_002593-T1
OG0003246	GBNWN_003399-T1	GBNWO_002592-T1
OG0003247	GBNWN_003401-T1	GBNWO_002590-T1
OG0003248	GBNWN_003404-T1	GBNWO_002588-T1
OG0003249	GBNWN_003407-T1	GBNWO_002585-T1
OG0003250	GBNWN_003412-T1	GBNWO_007455-T1
OG0003251	GBNWN_003414-T1	GBNWO_007454-T1
OG0003252	GBNWN_003416-T1	GBNWO_007453-T1
OG0003253	GBNWN_003422-T1	GBNWO_007448-T1
OG0003254	GBNWN_003424-T1	GBNWO_007446-T1
OG0003255	GBNWN_003426-T1	GBNWO_006382-T1
OG0003256	GBNWN_003428-T1	GBNWO_007937-T1
OG0003257	GBNWN_003429-T1	GBNWO_007936-T1
OG0003258	GBNWN_003430-T1	GBNWO_007935-T1
OG0003259	GBNWN_003431-T1	GBNWO_003895-T1
OG0003260	GBNWN_003432-T1	GBNWO_000118-T1
OG0003261	GBNWN_003433-T1	GBNWO_000117-T1
OG0003262	GBNWN_003434-T1	GBNWO_009543-T1
OG0003263	GBNWN_003435-T1	GBNWO_009544-T1
OG0003264	GBNWN_003436-T1	GBNWO_009545-T1
OG0003265	GBNWN_003437-T1	GBNWO_009546-T1
OG0003266	GBNWN_003438-T1	GBNWO_000996-T1
OG0003267	GBNWN_003442-T1	GBNWO_008997-T1
OG0003268	GBNWN_003444-T1	GBNWO_008995-T1
OG0003269	GBNWN_003445-T1	GBNWO_003471-T1
OG0003270	GBNWN_003447-T1	GBNWO_003473-T1
OG0003271	GBNWN_003448-T1	GBNWO_003474-T1
OG0003272	GBNWN_003449-T1	GBNWO_003475-T1
OG0003273	GBNWN_003450-T1	GBNWO_003477-T1
OG0003274	GBNWN_003451-T1	GBNWO_003478-T1
OG0003275	GBNWN_003453-T1	GBNWO_000206-T1
OG0003276	GBNWN_003454-T1	GBNWO_000207-T1
OG0003277	GBNWN_003456-T1	GBNWO_000982-T1
OG0003278	GBNWN_003458-T1	GBNWO_000984-T1
OG0003279	GBNWN_003459-T1	GBNWO_000985-T1
OG0003280	GBNWN_003461-T1	GBNWO_000987-T1
OG0003281	GBNWN_003465-T1	GBNWO_003939-T1
OG0003282	GBNWN_003470-T1	GBNWO_005113-T1
OG0003283	GBNWN_003471-T1	GBNWO_003441-T1
OG0003284	GBNWN_003472-T1	GBNWO_004422-T1
OG0003285	GBNWN_003473-T1	GBNWO_002645-T1
OG0003286	GBNWN_003474-T1	GBNWO_002644-T1
OG0003287	GBNWN_003475-T1	GBNWO_009102-T1
OG0003288	GBNWN_003477-T1	GBNWO_009103-T1
OG0003289	GBNWN_003479-T1	GBNWO_009105-T1
OG0003290	GBNWN_003481-T1	GBNWO_009107-T1
OG0003291	GBNWN_003482-T1	GBNWO_009108-T1
OG0003292	GBNWN_003483-T1	GBNWO_009109-T1
OG0003293	GBNWN_003484-T1	GBNWO_009110-T1
OG0003294	GBNWN_003486-T1	GBNWO_009112-T1
OG0003295	GBNWN_003487-T1	GBNWO_009113-T1
OG0003296	GBNWN_003488-T1	GBNWO_009114-T1
OG0003297	GBNWN_003489-T1	GBNWO_009115-T1
OG0003298	GBNWN_003491-T1	GBNWO_005544-T1
OG0003299	GBNWN_003492-T1	GBNWO_005543-T1
OG0003300	GBNWN_003493-T1	GBNWO_005542-T1
OG0003301	GBNWN_003495-T1	GBNWO_005541-T1
OG0003302	GBNWN_003498-T1	GBNWO_005538-T1
OG0003303	GBNWN_003499-T1	GBNWO_005537-T1
OG0003304	GBNWN_003501-T1	GBNWO_005847-T1
OG0003305	GBNWN_003502-T1	GBNWO_005848-T1
OG0003306	GBNWN_003504-T1	GBNWO_005849-T1
OG0003307	GBNWN_003505-T1	GBNWO_005850-T1
OG0003308	GBNWN_003508-T1	GBNWO_001848-T1
OG0003309	GBNWN_003510-T1	GBNWO_005762-T1
OG0003310	GBNWN_003512-T1	GBNWO_005760-T1
OG0003311	GBNWN_003513-T1	GBNWO_005758-T1
OG0003312	GBNWN_003514-T1	GBNWO_007630-T1
OG0003313	GBNWN_003515-T1	GBNWO_007631-T1
OG0003314	GBNWN_003516-T1	GBNWO_007632-T1
OG0003315	GBNWN_003517-T1	GBNWO_007633-T1
OG0003316	GBNWN_003519-T1	GBNWO_003111-T1
OG0003317	GBNWN_003524-T1	GBNWO_008847-T1
OG0003318	GBNWN_003527-T1	GBNWO_003223-T1
OG0003319	GBNWN_003529-T1	GBNWO_003221-T1
OG0003320	GBNWN_003530-T1	GBNWO_000390-T1
OG0003321	GBNWN_003531-T1	GBNWO_000389-T1
OG0003322	GBNWN_003532-T1	GBNWO_000388-T1
OG0003323	GBNWN_003533-T1	GBNWO_000387-T1
OG0003324	GBNWN_003534-T1	GBNWO_008731-T1
OG0003325	GBNWN_003536-T1	GBNWO_001867-T1
OG0003326	GBNWN_003537-T1	GBNWO_001868-T1
OG0003327	GBNWN_003538-T1	GBNWO_003990-T1
OG0003328	GBNWN_003539-T1	GBNWO_002330-T1
OG0003329	GBNWN_003540-T1	GBNWO_002329-T1
OG0003330	GBNWN_003541-T1	GBNWO_002328-T1
OG0003331	GBNWN_003542-T1	GBNWO_004745-T1
OG0003332	GBNWN_003545-T1	GBNWO_005293-T1
OG0003333	GBNWN_003546-T1	GBNWO_002187-T1
OG0003334	GBNWN_003547-T1	GBNWO_002186-T1
OG0003335	GBNWN_003551-T1	GBNWO_007661-T1
OG0003336	GBNWN_003552-T1	GBNWO_007662-T1
OG0003337	GBNWN_003553-T1	GBNWO_007663-T1
OG0003338	GBNWN_003556-T1	GBNWO_007666-T1
OG0003339	GBNWN_003557-T1	GBNWO_007667-T1
OG0003340	GBNWN_003558-T1	GBNWO_007668-T1
OG0003341	GBNWN_003559-T1	GBNWO_003802-T1
OG0003342	GBNWN_003560-T1	GBNWO_002119-T1
OG0003343	GBNWN_003561-T1	GBNWO_002118-T1
OG0003344	GBNWN_003563-T1	GBNWO_007417-T1
OG0003345	GBNWN_003564-T1	GBNWO_007415-T1
OG0003346	GBNWN_003565-T1	GBNWO_007414-T1
OG0003347	GBNWN_003567-T1	GBNWO_006152-T1
OG0003348	GBNWN_003568-T1	GBNWO_006151-T1
OG0003349	GBNWN_003570-T1	GBNWO_006150-T1
OG0003350	GBNWN_003572-T1	GBNWO_007702-T1
OG0003351	GBNWN_003573-T1	GBNWO_007701-T1
OG0003352	GBNWN_003577-T1	GBNWO_004605-T1
OG0003353	GBNWN_003578-T1	GBNWO_005338-T1
OG0003354	GBNWN_003579-T1	GBNWO_005337-T1
OG0003355	GBNWN_003582-T1	GBNWO_000439-T1
OG0003356	GBNWN_003583-T1	GBNWO_000438-T1
OG0003357	GBNWN_003584-T1	GBNWO_003022-T1
OG0003358	GBNWN_003585-T1	GBNWO_003021-T1
OG0003359	GBNWN_003586-T1	GBNWO_003020-T1
OG0003360	GBNWN_003588-T1	GBNWO_009531-T1
OG0003361	GBNWN_003589-T1	GBNWO_009530-T1
OG0003362	GBNWN_003592-T1	GBNWO_001514-T1
OG0003363	GBNWN_003593-T1	GBNWO_001515-T1
OG0003364	GBNWN_003594-T1	GBNWO_001516-T1
OG0003365	GBNWN_003596-T1	GBNWO_001518-T1
OG0003366	GBNWN_003597-T1	GBNWO_001519-T1
OG0003367	GBNWN_003598-T1	GBNWO_001520-T1
OG0003368	GBNWN_003599-T1	GBNWO_001521-T1
OG0003369	GBNWN_003602-T1	GBNWO_001356-T1
OG0003370	GBNWN_003604-T1	GBNWO_001953-T1
OG0003371	GBNWN_003605-T1	GBNWO_000273-T1
OG0003372	GBNWN_003606-T1	GBNWO_000272-T1
OG0003373	GBNWN_003612-T1	GBNWO_007969-T1
OG0003374	GBNWN_003613-T1	GBNWO_007970-T1
OG0003375	GBNWN_003614-T1	GBNWO_007971-T1
OG0003376	GBNWN_003616-T1	GBNWO_004882-T1
OG0003377	GBNWN_003618-T1	GBNWO_006098-T1
OG0003378	GBNWN_003619-T1	GBNWO_006097-T1
OG0003379	GBNWN_003620-T1	GBNWO_006096-T1
OG0003380	GBNWN_003621-T1	GBNWO_006095-T1
OG0003381	GBNWN_003623-T1	GBNWO_006094-T1
OG0003382	GBNWN_003624-T1	GBNWO_006093-T1
OG0003383	GBNWN_003625-T1	GBNWO_006092-T1
OG0003384	GBNWN_003627-T1	GBNWO_006090-T1
OG0003385	GBNWN_003628-T1	GBNWO_006089-T1
OG0003386	GBNWN_003629-T1	GBNWO_006088-T1
OG0003387	GBNWN_003630-T1	GBNWO_006086-T1
OG0003388	GBNWN_003631-T1	GBNWO_006085-T1
OG0003389	GBNWN_003632-T1	GBNWO_006084-T1
OG0003390	GBNWN_003633-T1	GBNWO_006083-T1
OG0003391	GBNWN_003634-T1	GBNWO_006082-T1
OG0003392	GBNWN_003635-T1	GBNWO_006081-T1
OG0003393	GBNWN_003636-T1	GBNWO_006080-T1
OG0003394	GBNWN_003637-T1	GBNWO_005294-T1
OG0003395	GBNWN_003638-T1	GBNWO_005102-T1
OG0003396	GBNWN_003640-T1	GBNWO_005103-T1
OG0003397	GBNWN_003641-T1	GBNWO_005104-T1
OG0003398	GBNWN_003642-T1	GBNWO_005105-T1
OG0003399	GBNWN_003646-T1	GBNWO_000842-T1
OG0003400	GBNWN_003652-T1	GBNWO_000954-T1
OG0003401	GBNWN_003654-T1	GBNWO_005440-T1
OG0003402	GBNWN_003656-T1	GBNWO_007143-T1
OG0003403	GBNWN_003657-T1	GBNWO_007144-T1
OG0003404	GBNWN_003660-T1	GBNWO_009522-T1
OG0003405	GBNWN_003661-T1	GBNWO_009523-T1
OG0003406	GBNWN_003662-T1	GBNWO_009524-T1
OG0003407	GBNWN_003663-T1	GBNWO_003657-T1
OG0003408	GBNWN_003664-T1	GBNWO_003658-T1
OG0003409	GBNWN_003665-T1	GBNWO_002131-T1
OG0003410	GBNWN_003666-T1	GBNWO_002132-T1
OG0003411	GBNWN_003667-T1	GBNWO_002133-T1
OG0003412	GBNWN_003668-T1	GBNWO_002134-T1
OG0003413	GBNWN_003670-T1	GBNWO_002136-T1
OG0003414	GBNWN_003671-T1	GBNWO_002137-T1
OG0003415	GBNWN_003672-T1	GBNWO_002138-T1
OG0003416	GBNWN_003673-T1	GBNWO_002139-T1
OG0003417	GBNWN_003674-T1	GBNWO_002140-T1
OG0003418	GBNWN_003675-T1	GBNWO_005370-T1
OG0003419	GBNWN_003676-T1	GBNWO_005371-T1
OG0003420	GBNWN_003677-T1	GBNWO_005372-T1
OG0003421	GBNWN_003678-T1	GBNWO_005373-T1
OG0003422	GBNWN_003679-T1	GBNWO_005374-T1
OG0003423	GBNWN_003681-T1	GBNWO_005377-T1
OG0003424	GBNWN_003682-T1	GBNWO_006638-T1
OG0003425	GBNWN_003684-T1	GBNWO_006640-T1
OG0003426	GBNWN_003685-T1	GBNWO_006641-T1
OG0003427	GBNWN_003688-T1	GBNWO_007938-T1
OG0003428	GBNWN_003689-T1	GBNWO_007939-T1
OG0003429	GBNWN_003690-T1	GBNWO_007940-T1
OG0003430	GBNWN_003691-T1	GBNWO_007941-T1
OG0003431	GBNWN_003692-T1	GBNWO_007942-T1
OG0003432	GBNWN_003694-T1	GBNWO_007944-T1
OG0003433	GBNWN_003695-T1	GBNWO_007945-T1
OG0003434	GBNWN_003696-T1	GBNWO_007946-T1
OG0003435	GBNWN_003697-T1	GBNWO_007947-T1
OG0003436	GBNWN_003698-T1	GBNWO_007948-T1
OG0003437	GBNWN_003700-T1	GBNWO_007950-T1
OG0003438	GBNWN_003701-T1	GBNWO_007951-T1
OG0003439	GBNWN_003704-T1	GBNWO_001876-T1
OG0003440	GBNWN_003706-T1	GBNWO_001878-T1
OG0003441	GBNWN_003707-T1	GBNWO_002924-T1
OG0003442	GBNWN_003708-T1	GBNWO_002923-T1
OG0003443	GBNWN_003709-T1	GBNWO_002922-T1
OG0003444	GBNWN_003711-T1	GBNWO_001601-T1
OG0003445	GBNWN_003713-T1	GBNWO_001599-T1
OG0003446	GBNWN_003717-T1	GBNWO_001367-T1
OG0003447	GBNWN_003718-T1	GBNWO_001368-T1
OG0003448	GBNWN_003722-T1	GBNWO_004799-T1
OG0003449	GBNWN_003723-T1	GBNWO_004800-T1
OG0003450	GBNWN_003726-T1	GBNWO_004802-T1
OG0003451	GBNWN_003727-T1	GBNWO_004803-T1
OG0003452	GBNWN_003728-T1	GBNWO_002549-T1
OG0003453	GBNWN_003729-T1	GBNWO_002548-T1
OG0003454	GBNWN_003732-T1	GBNWO_007749-T1
OG0003455	GBNWN_003733-T1	GBNWO_007748-T1
OG0003456	GBNWN_003734-T1	GBNWO_007747-T1
OG0003457	GBNWN_003735-T1	GBNWO_007746-T1
OG0003458	GBNWN_003737-T1	GBNWO_007745-T1
OG0003459	GBNWN_003738-T1	GBNWO_001681-T1
OG0003460	GBNWN_003740-T1	GBNWO_002450-T1
OG0003461	GBNWN_003741-T1	GBNWO_002449-T1
OG0003462	GBNWN_003742-T1	GBNWO_002448-T1
OG0003463	GBNWN_003743-T1	GBNWO_002447-T1
OG0003464	GBNWN_003744-T1	GBNWO_002446-T1
OG0003465	GBNWN_003746-T1	GBNWO_002445-T1
OG0003466	GBNWN_003748-T1	GBNWO_000023-T1
OG0003467	GBNWN_003749-T1	GBNWO_000024-T1
OG0003468	GBNWN_003751-T1	GBNWO_000027-T1
OG0003469	GBNWN_003753-T1	GBNWO_000030-T1
OG0003470	GBNWN_003754-T1	GBNWO_000031-T1
OG0003471	GBNWN_003755-T1	GBNWO_000032-T1
OG0003472	GBNWN_003756-T1	GBNWO_000033-T1
OG0003473	GBNWN_003760-T1	GBNWO_007514-T1
OG0003474	GBNWN_003761-T1	GBNWO_007513-T1
OG0003475	GBNWN_003762-T1	GBNWO_007512-T1
OG0003476	GBNWN_003763-T1	GBNWO_007511-T1
OG0003477	GBNWN_003764-T1	GBNWO_007510-T1
OG0003478	GBNWN_003765-T1	GBNWO_007509-T1
OG0003479	GBNWN_003766-T1	GBNWO_007508-T1
OG0003480	GBNWN_003767-T1	GBNWO_007507-T1
OG0003481	GBNWN_003771-T1	GBNWO_001608-T1
